date,COOLANT_TEMP,MAF,THROTTLE_POS,INTAKE_TEMP,TIMING_ADVANCE,ENGINE_LOAD,ELM_VOLTAGE,SPEED,O2_S1_WR_CURRENT,O2_S5_WR_CURRENT,O2_B1S2,O2_B2S2,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_2,
2021-08-23_16:34:11.799335,97 degC,53.75 gps,33.333333333333336 percent,38 degC,20.0 degree,79.6078431372549 percent,13.5 volt,81.0 kph,0.01171875 milliampere,-0.01953125 milliampere,0.445 volt,0.67 volt,-3.125 percent,3.125 percent,5.46875 percent,-0.78125 percent,
2021-08-23_16:34:12.299317,97 degC,53.75 gps,32.94117647058823 percent,38 degC,17.0 degree,79.6078431372549 percent,13.5 volt,81.0 kph,0.01171875 milliampere,-0.01953125 milliampere,0.445 volt,0.67 volt,-3.125 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:12.799320,97 degC,53.75 gps,32.94117647058823 percent,38 degC,17.0 degree,79.2156862745098 percent,13.5 volt,83.0 kph,-0.015625 milliampere,0.0 milliampere,0.445 volt,0.625 volt,-3.90625 percent,3.125 percent,5.46875 percent,-0.78125 percent,
2021-08-23_16:34:13.299418,97 degC,53.75 gps,32.549019607843135 percent,38 degC,17.0 degree,78.43137254901961 percent,13.5 volt,83.0 kph,-0.03125 milliampere,0.03515625 milliampere,0.445 volt,0.625 volt,-3.90625 percent,3.125 percent,5.46875 percent,-0.78125 percent,
2021-08-23_16:34:13.799395,97 degC,53.75 gps,32.549019607843135 percent,38 degC,17.0 degree,78.43137254901961 percent,13.5 volt,83.0 kph,-0.03125 milliampere,0.03515625 milliampere,0.445 volt,0.645 volt,-3.125 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:14.299368,97 degC,54.0 gps,32.549019607843135 percent,38 degC,17.0 degree,79.2156862745098 percent,13.5 volt,85.0 kph,-0.03515625 milliampere,-0.02734375 milliampere,0.445 volt,0.655 volt,-3.90625 percent,3.125 percent,3.125 percent,-0.78125 percent,
2021-08-23_16:34:14.799340,97 degC,53.75 gps,32.15686274509804 percent,38 degC,18.0 degree,77.6470588235294 percent,13.5 volt,86.0 kph,-0.03515625 milliampere,-0.02734375 milliampere,0.445 volt,0.655 volt,-3.90625 percent,3.125 percent,3.125 percent,-0.78125 percent,
2021-08-23_16:34:15.299336,97 degC,53.75 gps,32.15686274509804 percent,38 degC,18.0 degree,77.6470588235294 percent,13.5 volt,86.0 kph,0.04296875 milliampere,0.01171875 milliampere,0.445 volt,0.635 volt,-2.34375 percent,3.125 percent,3.125 percent,-0.78125 percent,
2021-08-23_16:34:15.799328,97 degC,53.75 gps,32.549019607843135 percent,37 degC,17.0 degree,78.43137254901961 percent,13.5 volt,87.0 kph,0.0 milliampere,-0.02734375 milliampere,0.445 volt,0.635 volt,-2.34375 percent,3.125 percent,3.125 percent,-0.78125 percent,
2021-08-23_16:34:16.299348,97 degC,53.25 gps,32.549019607843135 percent,37 degC,17.0 degree,78.43137254901961 percent,13.5 volt,87.0 kph,0.0 milliampere,-0.02734375 milliampere,0.445 volt,0.66 volt,-3.125 percent,3.125 percent,2.34375 percent,-0.78125 percent,
2021-08-23_16:34:16.799352,97 degC,53.25 gps,32.549019607843135 percent,37 degC,17.0 degree,78.43137254901961 percent,13.4 volt,88.0 kph,0.01953125 milliampere,-0.0078125 milliampere,0.445 volt,0.645 volt,-3.90625 percent,3.125 percent,3.90625 percent,-0.78125 percent,
2021-08-23_16:34:17.299341,97 degC,52.75 gps,32.15686274509804 percent,37 degC,18.5 degree,77.25490196078431 percent,13.5 volt,88.0 kph,0.01953125 milliampere,-0.0078125 milliampere,0.445 volt,0.645 volt,-3.90625 percent,3.125 percent,3.90625 percent,-0.78125 percent,
2021-08-23_16:34:17.799298,97 degC,52.75 gps,32.15686274509804 percent,37 degC,18.5 degree,77.25490196078431 percent,13.5 volt,88.0 kph,-0.0234375 milliampere,0.00390625 milliampere,0.445 volt,0.58 volt,-2.34375 percent,3.125 percent,5.46875 percent,-0.78125 percent,
2021-08-23_16:34:18.299329,98 degC,54.5 gps,32.15686274509804 percent,37 degC,18.5 degree,77.6470588235294 percent,13.5 volt,90.0 kph,-0.01171875 milliampere,-0.03125 milliampere,0.445 volt,0.605 volt,-3.125 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:18.799367,98 degC,53.25 gps,32.15686274509804 percent,36 degC,18.5 degree,77.6470588235294 percent,13.4 volt,91.0 kph,-0.01171875 milliampere,-0.03125 milliampere,0.445 volt,0.605 volt,-3.125 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:19.299363,98 degC,53.25 gps,32.15686274509804 percent,36 degC,18.5 degree,77.6470588235294 percent,13.4 volt,91.0 kph,-0.046875 milliampere,0.015625 milliampere,0.445 volt,0.57 volt,-2.34375 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:19.799346,98 degC,53.75 gps,32.549019607843135 percent,36 degC,18.5 degree,78.03921568627452 percent,13.4 volt,91.0 kph,-0.015625 milliampere,0.0 milliampere,0.445 volt,0.56 volt,-3.125 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:20.299305,98 degC,54.0 gps,32.549019607843135 percent,36 degC,18.5 degree,78.03921568627452 percent,13.4 volt,91.0 kph,-0.015625 milliampere,0.0 milliampere,0.445 volt,0.56 volt,-3.125 percent,3.125 percent,3.90625 percent,-0.78125 percent,
2021-08-23_16:34:20.799313,98 degC,54.0 gps,32.15686274509804 percent,36 degC,19.5 degree,78.03921568627452 percent,13.4 volt,92.0 kph,-0.0078125 milliampere,-0.0546875 milliampere,0.445 volt,0.58 volt,-3.125 percent,3.125 percent,3.125 percent,-0.78125 percent,
2021-08-23_16:34:21.299299,98 degC,53.25 gps,32.15686274509804 percent,36 degC,19.5 degree,77.6470588235294 percent,13.5 volt,93.0 kph,-0.0078125 milliampere,-0.0546875 milliampere,0.445 volt,0.58 volt,-3.125 percent,3.125 percent,3.125 percent,-0.78125 percent,
